,ID,x,auc,funcId,kind,fid,iid,dim
43,DiagonalCMA,4000,0.269341764705882,115.0,Affine,115,0,2
44,DiagonalCMA,10000,0.202008098039216,115.0,Affine,115,0,5
43,DifferentialEvolution,4000,0.290924950980392,115.0,Affine,115,0,2
44,DifferentialEvolution,10000,0.221825921568627,115.0,Affine,115,0,5
43,modcma,4002,0.608294921166868,115.0,Affine,115,0,2
44,modcma,10000,0.324451607843137,115.0,Affine,115,0,5
43,modde,4000,0.277275245098039,115.0,Affine,115,0,2
44,modde,10000,0.231268980392157,115.0,Affine,115,0,5
43,RCobyla,4000,0.129699117647059,115.0,Affine,115,0,2
44,RCobyla,10000,0.113917431372549,115.0,Affine,115,0,5
43,DiagonalCMA,4000,0.455676617647059,116.0,Affine,116,0,2
44,DiagonalCMA,10000,0.832051666666667,116.0,Affine,116,0,5
43,DifferentialEvolution,4000,0.641346568627451,116.0,Affine,116,0,2
44,DifferentialEvolution,10000,0.41665662745098,116.0,Affine,116,0,5
43,modcma,4002,0.497629763549598,116.0,Affine,116,0,2
44,modcma,10000,0.720429039215686,116.0,Affine,116,0,5
43,modde,4000,0.774050294117647,116.0,Affine,116,0,2
44,modde,10000,0.603276333333333,116.0,Affine,116,0,5
43,RCobyla,4000,0.347604068627451,116.0,Affine,116,0,2
44,RCobyla,10000,0.299888725490196,116.0,Affine,116,0,5
43,DiagonalCMA,4000,0.523212450980392,117.0,Affine,117,0,2
44,DiagonalCMA,10000,0.538526980392157,117.0,Affine,117,0,5
43,DifferentialEvolution,4000,0.432500882352941,117.0,Affine,117,0,2
44,DifferentialEvolution,10000,0.305221980392157,117.0,Affine,117,0,5
43,modcma,4002,0.605210727969349,117.0,Affine,117,0,2
44,modcma,10000,0.743308117647059,117.0,Affine,117,0,5
43,modde,4000,0.479310049019608,117.0,Affine,117,0,2
44,modde,10000,0.386597960784314,117.0,Affine,117,0,5
43,RCobyla,4000,0.257722549019608,117.0,Affine,117,0,2
44,RCobyla,10000,0.165550294117647,117.0,Affine,117,0,5
43,DiagonalCMA,4000,0.859145882352941,118.0,Affine,118,0,2
44,DiagonalCMA,10000,0.650281509803922,118.0,Affine,118,0,5
43,DifferentialEvolution,4000,0.770559509803922,118.0,Affine,118,0,2
44,DifferentialEvolution,10000,0.627518176470588,118.0,Affine,118,0,5
43,modcma,4002,0.903380564619651,118.0,Affine,118,0,2
44,modcma,10000,0.815251411764706,118.0,Affine,118,0,5
43,modde,4000,0.857434068627451,118.0,Affine,118,0,2
44,modde,10000,0.693120352941176,118.0,Affine,118,0,5
43,RCobyla,4000,0.423053578431373,118.0,Affine,118,0,2
44,RCobyla,10000,0.543847823529412,118.0,Affine,118,0,5
43,DiagonalCMA,4000,0.619489852941176,119.0,Affine,119,0,2
44,DiagonalCMA,10000,0.243131509803922,119.0,Affine,119,0,5
43,DifferentialEvolution,4000,0.730678676470588,119.0,Affine,119,0,2
44,DifferentialEvolution,10000,0.335928490196078,119.0,Affine,119,0,5
43,modcma,4002,0.667748037745833,119.0,Affine,119,0,2
44,modcma,10000,0.342761607843137,119.0,Affine,119,0,5
43,modde,4000,0.792653529411765,119.0,Affine,119,0,2
44,modde,10000,0.551802019607843,119.0,Affine,119,0,5
43,RCobyla,4000,0.280302941176471,119.0,Affine,119,0,2
44,RCobyla,10000,0.195924333333333,119.0,Affine,119,0,5
43,DiagonalCMA,4000,0.358394166666667,11.0,Affine,11,0,2
44,DiagonalCMA,10000,0.486078764705882,11.0,Affine,11,0,5
43,DifferentialEvolution,4000,0.581440098039216,11.0,Affine,11,0,2
44,DifferentialEvolution,10000,0.385984196078431,11.0,Affine,11,0,5
43,modcma,4002,0.869636505276773,11.0,Affine,11,0,2
44,modcma,10000,0.875018137254902,11.0,Affine,11,0,5
43,modde,4000,0.663574068627451,11.0,Affine,11,0,2
44,modde,10000,0.473778862745098,11.0,Affine,11,0,5
43,RCobyla,4000,0.362268774509804,11.0,Affine,11,0,2
44,RCobyla,10000,0.290005333333333,11.0,Affine,11,0,5
43,DiagonalCMA,4000,0.418356519607843,120.0,Affine,120,0,2
44,DiagonalCMA,10000,0.439172823529412,120.0,Affine,120,0,5
43,DifferentialEvolution,4000,0.658515147058824,120.0,Affine,120,0,2
44,DifferentialEvolution,10000,0.437751254901961,120.0,Affine,120,0,5
43,modcma,4002,0.875280839972171,120.0,Affine,120,0,2
44,modcma,10000,0.816081098039216,120.0,Affine,120,0,5
43,modde,4000,0.752837843137255,120.0,Affine,120,0,2
44,modde,10000,0.576691215686275,120.0,Affine,120,0,5
43,RCobyla,4000,0.193443725490196,120.0,Affine,120,0,2
44,RCobyla,10000,0.281343725490196,120.0,Affine,120,0,5
43,DiagonalCMA,4000,0.698716568627451,121.0,Affine,121,0,2
44,DiagonalCMA,10000,0.441126117647059,121.0,Affine,121,0,5
43,DifferentialEvolution,4000,0.651785882352941,121.0,Affine,121,0,2
44,DifferentialEvolution,10000,0.356615196078431,121.0,Affine,121,0,5
43,modcma,4002,0.906398908388943,121.0,Affine,121,0,2
44,modcma,10000,0.607899921568627,121.0,Affine,121,0,5
43,modde,4000,0.6705275,121.0,Affine,121,0,2
44,modde,10000,0.495553784313725,121.0,Affine,121,0,5
43,RCobyla,4000,0.262748431372549,121.0,Affine,121,0,2
44,RCobyla,10000,0.21933,121.0,Affine,121,0,5
43,DiagonalCMA,4000,0.733670539215686,122.0,Affine,122,0,2
44,DiagonalCMA,10000,0.206008921568627,122.0,Affine,122,0,5
43,DifferentialEvolution,4000,0.56838137254902,122.0,Affine,122,0,2
44,DifferentialEvolution,10000,0.226667176470588,122.0,Affine,122,0,5
43,modcma,4002,0.782681502386062,122.0,Affine,122,0,2
44,modcma,10000,0.782359058823529,122.0,Affine,122,0,5
43,modde,4000,0.663962009803922,122.0,Affine,122,0,2
44,modde,10000,0.329304568627451,122.0,Affine,122,0,5
43,RCobyla,4000,0.320639656862745,122.0,Affine,122,0,2
44,RCobyla,10000,0.204611745098039,122.0,Affine,122,0,5
43,DiagonalCMA,4000,0.547321666666667,123.0,Affine,123,0,2
44,DiagonalCMA,10000,0.889865137254902,123.0,Affine,123,0,5
43,DifferentialEvolution,4000,0.540879215686275,123.0,Affine,123,0,2
44,DifferentialEvolution,10000,0.389710137254902,123.0,Affine,123,0,5
43,modcma,4002,0.868230296616398,123.0,Affine,123,0,2
44,modcma,10000,0.945788,123.0,Affine,123,0,5
43,modde,4000,0.644305882352941,123.0,Affine,123,0,2
44,modde,10000,0.538224764705882,123.0,Affine,123,0,5
43,RCobyla,4000,0.349618529411765,123.0,Affine,123,0,2
44,RCobyla,10000,0.316570215686275,123.0,Affine,123,0,5
43,DiagonalCMA,4000,0.482374166666667,124.0,Affine,124,0,2
44,DiagonalCMA,10000,0.328635980392157,124.0,Affine,124,0,5
43,DifferentialEvolution,4000,0.531888088235294,124.0,Affine,124,0,2
44,DifferentialEvolution,10000,0.328361411764706,124.0,Affine,124,0,5
43,modcma,4002,0.746426198665373,124.0,Affine,124,0,2
44,modcma,10000,0.381933078431373,124.0,Affine,124,0,5
43,modde,4000,0.629500441176471,124.0,Affine,124,0,2
44,modde,10000,0.394450921568627,124.0,Affine,124,0,5
43,RCobyla,4000,0.382502598039216,124.0,Affine,124,0,2
44,RCobyla,10000,0.265108117647059,124.0,Affine,124,0,5
43,DiagonalCMA,4000,0.79808568627451,125.0,Affine,125,0,2
44,DiagonalCMA,10000,0.586890549019608,125.0,Affine,125,0,5
43,DifferentialEvolution,4000,0.903237892156863,125.0,Affine,125,0,2
44,DifferentialEvolution,10000,0.493074196078431,125.0,Affine,125,0,5
43,modcma,4002,0.921043154893142,125.0,Affine,125,0,2
44,modcma,10000,0.595055411764706,125.0,Affine,125,0,5
43,modde,4000,0.888212401960784,125.0,Affine,125,0,2
44,modde,10000,0.719337039215686,125.0,Affine,125,0,5
43,RCobyla,4000,0.732586470588235,125.0,Affine,125,0,2
44,RCobyla,10000,0.344626764705882,125.0,Affine,125,0,5
43,DiagonalCMA,4000,0.771033676470588,126.0,Affine,126,0,2
44,DiagonalCMA,10000,0.605114921568627,126.0,Affine,126,0,5
43,DifferentialEvolution,4000,0.545857549019608,126.0,Affine,126,0,2
44,DifferentialEvolution,10000,0.366970588235294,126.0,Affine,126,0,5
43,modcma,4002,0.886592194099029,126.0,Affine,126,0,2
44,modcma,10000,0.878648078431373,126.0,Affine,126,0,5
43,modde,4000,0.6377875,126.0,Affine,126,0,2
44,modde,10000,0.450772745098039,126.0,Affine,126,0,5
43,RCobyla,4000,0.2345975,126.0,Affine,126,0,2
44,RCobyla,10000,0.221794196078431,126.0,Affine,126,0,5
43,DiagonalCMA,4000,0.828342058823529,127.0,Affine,127,0,2
44,DiagonalCMA,10000,0.921287137254902,127.0,Affine,127,0,5
43,DifferentialEvolution,4000,0.760011960784314,127.0,Affine,127,0,2
44,DifferentialEvolution,10000,0.496350450980392,127.0,Affine,127,0,5
43,modcma,4002,0.964331020764128,127.0,Affine,127,0,2
44,modcma,10000,0.957190725490196,127.0,Affine,127,0,5
43,modde,4000,0.806124068627451,127.0,Affine,127,0,2
44,modde,10000,0.677941921568627,127.0,Affine,127,0,5
43,RCobyla,4000,0.513500637254902,127.0,Affine,127,0,2
44,RCobyla,10000,0.763041156862745,127.0,Affine,127,0,5
43,DiagonalCMA,4000,0.825015343137255,128.0,Affine,128,0,2
44,DiagonalCMA,10000,0.902641607843137,128.0,Affine,128,0,5
43,DifferentialEvolution,4000,0.706694803921569,128.0,Affine,128,0,2
44,DifferentialEvolution,10000,0.654214274509804,128.0,Affine,128,0,5
43,modcma,4002,0.674932876698905,128.0,Affine,128,0,2
44,modcma,10000,0.695779647058824,128.0,Affine,128,0,5
43,modde,4000,0.705397549019608,128.0,Affine,128,0,2
44,modde,10000,0.744956196078431,128.0,Affine,128,0,5
43,RCobyla,4000,0.850868774509804,128.0,Affine,128,0,2
44,RCobyla,10000,0.636959078431373,128.0,Affine,128,0,5
43,DiagonalCMA,4000,0.976310833333333,129.0,Affine,129,0,2
44,DiagonalCMA,10000,0.972219980392157,129.0,Affine,129,0,5
43,DifferentialEvolution,4000,0.871787303921569,129.0,Affine,129,0,2
44,DifferentialEvolution,10000,0.631475607843137,129.0,Affine,129,0,5
43,modcma,4002,0.978223241320516,129.0,Affine,129,0,2
44,modcma,10000,0.974626921568627,129.0,Affine,129,0,5
43,modde,4000,0.893736470588235,129.0,Affine,129,0,2
44,modde,10000,0.752745882352941,129.0,Affine,129,0,5
43,RCobyla,4000,0.948043725490196,129.0,Affine,129,0,2
44,RCobyla,10000,0.806536921568627,129.0,Affine,129,0,5
43,DiagonalCMA,4000,0.357186911764706,12.0,Affine,12,0,2
44,DiagonalCMA,10000,0.348666901960784,12.0,Affine,12,0,5
43,DifferentialEvolution,4000,0.44969431372549,12.0,Affine,12,0,2
44,DifferentialEvolution,10000,0.362991450980392,12.0,Affine,12,0,5
43,modcma,4002,0.373021626441681,12.0,Affine,12,0,2
44,modcma,10000,0.356163039215686,12.0,Affine,12,0,5
43,modde,4000,0.508408921568627,12.0,Affine,12,0,2
44,modde,10000,0.394863450980392,12.0,Affine,12,0,5
43,RCobyla,4000,0.280161274509804,12.0,Affine,12,0,2
44,RCobyla,10000,0.256327490196078,12.0,Affine,12,0,5
43,DiagonalCMA,4000,0.855248382352941,130.0,Affine,130,0,2
44,DiagonalCMA,10000,0.779325509803922,130.0,Affine,130,0,5
43,DifferentialEvolution,4000,0.704301274509804,130.0,Affine,130,0,2
44,DifferentialEvolution,10000,0.445935843137255,130.0,Affine,130,0,5
43,modcma,4002,0.760295832475919,130.0,Affine,130,0,2
44,modcma,10000,0.953819156862745,130.0,Affine,130,0,5
43,modde,4000,0.801282107843137,130.0,Affine,130,0,2
44,modde,10000,0.613239647058824,130.0,Affine,130,0,5
43,RCobyla,4000,0.488049362745098,130.0,Affine,130,0,2
44,RCobyla,10000,0.617751196078431,130.0,Affine,130,0,5
43,DiagonalCMA,4000,0.395543676470588,131.0,Affine,131,0,2
44,DiagonalCMA,10000,0.261469882352941,131.0,Affine,131,0,5
43,DifferentialEvolution,4000,0.306627058823529,131.0,Affine,131,0,2
44,DifferentialEvolution,10000,0.169154470588235,131.0,Affine,131,0,5
43,modcma,4002,0.531183623874337,131.0,Affine,131,0,2
44,modcma,10000,0.45273731372549,131.0,Affine,131,0,5
43,modde,4000,0.382617058823529,131.0,Affine,131,0,2
44,modde,10000,0.170451078431373,131.0,Affine,131,0,5
43,RCobyla,4000,0.161710147058824,131.0,Affine,131,0,2
44,RCobyla,10000,0.137960117647059,131.0,Affine,131,0,5
43,DiagonalCMA,4000,0.430017745098039,132.0,Affine,132,0,2
